NAME;ADDRESS;TYPE;LOCATION;SUMMER_HOURS;WINTER_HOURS;WHEEL_ACCESS;MAINTAINER;NOTE;Geom;Geo Local Area;PRIMARYIND
Barclay Heritage Square;1433 Barclay Street;Public Toilet in Park;Barclay Manor (WECC);Hours of the centre;Hours of the centre;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.132560510918, 49.2872148697549]}";West End;4
David Lam Park;1300 Pacific Boulevard;Public Toilet in Park;West side;10:00 am - Dusk;10:00 am - Dusk;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.125415035162, 49.2723830073375]}";Downtown;16
Elm Park;5800 Elm Street;Public Toilet in Park;Central, field house;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.163283944614, 49.2334319792246]}";Kerrisdale;17
Granville Park;3001 Fir Street;Public Toilet in Park;Central, field house;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;No Caretaker;"{""type"": ""Point"", ""coordinates"": [-123.14196994988, 49.2584930114999]}";Fairview;25
Hastings Community Park;3000 E Pender Street;Public Toilet in Park;Central, field house;Dawn to Dusk;Closed;No;Parks & Recreation;No Caretaker;"{""type"": ""Point"", ""coordinates"": [-123.03787394911, 49.2806479707568]}";Hastings-Sunrise;29
Jericho Beach Park;3941 Point Grey Road;Public Toilet in Park;Service Yard - public exterior attached to service building;Dawn - 11:00 pm;Dawn - 11:00 pm;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.20280599872, 49.2744279889871]}";West Point Grey;32
John Hendry (Trout Lake) Park;3300 Victoria Drive;Public Toilet in Park;At Trout Lake;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.061387988851, 49.2539260388866]}";Kensington-Cedar Cottage;33
Kitsilano Beach Park;1499 Arbutus Street;Public Toilet in Park;Kitsilano Showboat concession;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.157542967602, 49.2730140340116]}";Kitsilano;36
Kitsilano Beach Park;1499 Arbutus Street;Public Toilet in Park;Lifeguard station;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.153702974672, 49.2744719935869]}";Kitsilano;37
Maple Grove Park;6875 Yew Street;Public Toilet in Park;Central, field house;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.159582974748, 49.2233840215141]}";Kerrisdale;40
McBride Park;3350 W 4th Avenue;Public Toilet in Park;Central, field house;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;No Caretaker;"{""type"": ""Point"", ""coordinates"": [-123.180140962198, 49.2681069665443]}";Kitsilano;41
Memorial South Park;5955 Ross Street;Public Toilet in Park;Oval;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;No Caretaker;"{""type"": ""Point"", ""coordinates"": [-123.084388002617, 49.2307380348496]}";Sunset;42
Queen Elizabeth Park;4600 Cambie Street;Public Toilet in Park;Lookout;7:30 am - 9:00 pm;7:30 am - 9:00 pm;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.112919003359, 49.2421839651063]}";Riley Park;55
Quilchena Park;4590 Magnolia Street;Public Toilet in Park;North east corner, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.148723944856, 49.2446430482962]}";Arbutus-Ridge;57
Riverfront Park;2750 E Kent Ave S;Public Toilet in Park;North side;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.051846970695, 49.2057680376434]}";Killarney;58
Ross Park;7402 Ross Street;Public Toilet in Park;South west corner, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.082798035022, 49.2166999806775]}";Sunset;60
Rupert Park;1600 Rupert Street;Public Toilet in Park;South side, fieldhouse;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.030604979627, 49.2701350041925]}";Hastings-Sunrise;61
Slocan Park;2750 E 29th Avenue;Public Toilet in Park;North side;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.047952017189, 49.2444379784009]}";Renfrew-Collingwood;63
Stanley Park;2000 W Georgia Street;Public Toilet in Park;Park Board Main office;Weekdays only 8:30 am - 5:00 pm;Weekdays only 8:30 am - 5:00 pm;Yes;Parks & Recreation;Wheelchair accessible;"{""type"": ""Point"", ""coordinates"": [-123.145354964422, 49.2908669672286]}";;67
Stanley Park;2000 W Georgia Street;Public Toilet in Park;Ceperley Picnic Shelter;Dawn to Dusk;Dawn to Dusk;Yes;Parks & Recreation;Wheelchair accessible;"{""type"": ""Point"", ""coordinates"": [-123.148714956707, 49.2936169900948]}";;72
